product,ingredient,amount_per_unit,unit
식빵,강력분,100,g
식빵,우유,70,g
식빵,버터,7,g
식빵,소금,2,g
식빵,설탕,5,g
식빵,이스트,1,g
크루아상,강력분,83,g
크루아상,버터,53,g
크루아상,설탕,8,g
크루아상,소금,1,g
크루아상,이스트,1,g
크루아상,달걀,0.3,개
팥빵,강력분,40,g
팥빵,박력분,10,g
팥빵,이스트,1,g
팥빵,소금,1,g
팥빵,설탕,8,g
팥빵,버터,8,g
팥빵,달걀,0.3,개
팥빵,우유,18,g
팥빵,팥앙금,80,g
팥빵,호두,8,g
생크림팥빵,강력분,27,g
생크림팥빵,박력분,7,g
생크림팥빵,이스트,1,g
생크림팥빵,소금,1,g
생크림팥빵,설탕,5,g
생크림팥빵,버터,5,g
생크림팥빵,달걀,0.2,개
생크림팥빵,우유,12,g
생크림팥빵,팥앙금,53,g
생크림팥빵,호두,5,g
생크림팥빵,생크림,50,g
말차크림팥빵,강력분,40,g
말차크림팥빵,박력분,10,g
말차크림팥빵,이스트,1,g
말차크림팥빵,소금,1,g
말차크림팥빵,설탕,13,g
말차크림팥빵,버터,8,g
말차크림팥빵,달걀,0.3,개
말차크림팥빵,우유,18,g
말차크림팥빵,팥앙금,80,g
말차크림팥빵,호두,8,g
말차크림팥빵,생크림,50,g
말차크림팥빵,말차가루,2,g
